
# A
.inp	Abaqus
.abc	Abc
.adb	Ada
.ads	Ada
.yml	Yaml
.yaml	Yaml
.yml:AnsiblePlaybook	AnsiblePlaybook
.yaml:AnsiblePlaybook	AnsiblePlaybook
.xml:Ant	Ant
.adoc	Asciidoc
.asc	Asciidoc
.asm	Asm
.asp	Asp
.au3	AutoIt
.ac	Autoconf
.am	Automake
.awk	Awk

# B
.beta	BETA
.bas	Basic
.bats	Bats
.bib	BibTeX
.bib:BibLaTeX	BibLaTeX

# C
.c	C
.h	C++
.cs	C#
.cpp	C++
.cxx	C++
.cmake	CMake
.css	CSS
.cu	CUDA
.toml:Cargo	Cargo
.clj	Clojure
.cbl	Cobol
.cob	Cobol
.cbl:CobolFree	CobolFree
.tags	Ctags

# D
.d	D
.xml:DBusIntrospect	DBusIntrospect
.dtd	DTD
.dts	DTS
.diff	Diff
.patch	Diff
.bat	DosBatch

# E
.e	Eiffel
.ex	Elixir
.elm	Elm
.el	EmacsLisp
.erl	Erlang

# F
.fal	Falcon
.l	LEX
.l:Flex	Flex
.fs	Forth
.f90	Fortran
.fypp	Fypp

# G
.gd	GDScript
.gperf	GPerf
.gdbinit	Gdbinit
.gemspec	GemSpec
.glade	Glade
.go	Go

# H
.html	HTML
.hs	Haskell
.hx	Haxe

# I
.rb:I18nRubyGem	I18nRubyGem
.ipynb	IPythonCell
.itcl	ITcl
.ini	Iniconf
.inko	Inko
.jni	JNI

# J
.json	JSON
.java	Java
.properties	JavaProperties
.js	JavaScript
.jl	Julia

# K
.kconfig	Kconfig
.kt	Kotlin

# L
.ld	LdScript
.lisp	Lisp
.lhs	LiterateHaskell
.lua	Lua

# M
.m	ObjectiveC
.m:MatLab	MatLab
.m4	M4
.mk	Make
.man	Man
.md	Markdown
.xml:Maven2	Maven2
.meson	Meson
.meson.options	MesonOptions
.pm:Moose	Moose
.myr	Myrddin

# N
.nsi	NSIS

# O
.ml	OCaml
.yaml:OpenAPI	OpenAPI
.org	Org

# P
.php	PHP
.pas	Pascal
.passwd	Passwd
.pl	Perl
.pod	Pod
.ps1	PowerShell
.proto	Protobuf
.pp	PuppetManifest
.py	Python
.cfg:PythonLoggingConfig	PythonLoggingConfig

# Q
.moc	QtMoc
.qmd	Quarto

# R
.r	R
.r6	R6Class
.rd	RDoc
.rex	REXX
.rmd	RMarkdown
.rb	Ruby
.rs	Rust

# S
.s4	S4Class
.scss	SCSS
.if	SELinuxInterface
.te	SELinuxTypeEnforcement
.sl	SLang
.sml	SML
.sql	SQL
.svg	SVG
.scd	Scdoc
.scm	Scheme
.sh	Sh
.stp	SystemTap
.sv	SystemVerilog
.service	SystemdUnit

# T
.toml	TOML
.ttcn	TTCN
.tcl	Tcl
.tex:TeXBeamer	TeXBeamer
.tf	Terraform
.tex	Tex
.thrift	Thrift
.t2t	Txt2tags
.ts	TypeScript
.tsp	TypeSpec

# V
.v	Verilog
.vhdl	VHDL
.varlink	Varlink
.vr	Vera
.vim	Vim
.rc	WindRes

# X
.xml	XML
.xrc	XRC
.xslt	XSLT

# Y
.y	YACC
.repo	YumRepo

# Z
.zep	Zephir
.zsh	Zsh

